skill_id,skill_name,category,difficulty,estimated_learning_hours,description,aliases
71,Node.js & Express,Web Development,Intermediate,25.0,"Server-side JS, middleware, routing, and REST APIs",
72,Next.js,Web Development,Intermediate,25.0,"SSR, SSG, ISR, API routes, and deployment on Vercel",
73,GraphQL,Web Development,Intermediate,20.0,"Schemas, resolvers, queries, mutations, and Apollo Client",
74,RESTful API Development,Web Development,Intermediate,20.0,"HTTP methods, status codes, authentication, and OpenAPI",
75,Web Accessibility (a11y),Web Development,Intermediate,15.0,"WCAG guidelines, ARIA roles, screen readers, and audits",
76,Progressive Web Apps,Web Development,Intermediate,20.0,"Service workers, offline support, push notifications, and manifests",
77,WebSockets & Real-time Apps,Web Development,Advanced,25.0,"Socket.io, pub/sub, chat apps, and live dashboards",
78,Authentication & Authorization,Web Development,Advanced,25.0,"JWT, OAuth 2.0, OpenID Connect, and session management",
79,Web Security,Web Development,Advanced,25.0,"XSS, CSRF, SQL injection, HTTPS, and CSP headers",
80,Frontend Performance,Web Development,Advanced,20.0,"Code splitting, lazy loading, caching, and Core Web Vitals",
81,CSS Frameworks (Tailwind),Web Development,Beginner,10.0,"Utility-first CSS, custom themes, and component design",
82,Testing Frontend Apps,Web Development,Intermediate,20.0,"Jest, React Testing Library, Cypress, and visual regression",
83,Browser DevTools,Web Development,Beginner,10.0,"Debugging, network analysis, performance profiling, and storage",
84,Web Components,Web Development,Intermediate,20.0,"Custom elements, shadow DOM, templates, and slots",
85,Svelte,Web Development,Intermediate,20.0,"Reactive declarations, stores, transitions, and SvelteKit",
86,Cloud Fundamentals,Cloud Computing,Beginner,15.0,"IaaS, PaaS, SaaS, shared responsibility model, and major providers",
87,AWS Core Services,Cloud Computing,Intermediate,30.0,"EC2, S3, RDS, IAM, VPC, and Lambda",
88,Azure Fundamentals,Cloud Computing,Intermediate,25.0,"Azure VMs, Blob Storage, Azure AD, and ARM templates",
89,Google Cloud Platform,Cloud Computing,Intermediate,25.0,"GCE, GCS, BigQuery, Cloud Run, and IAM",
90,Containerization with Docker,Cloud Computing,Intermediate,20.0,"Images, containers, Dockerfile, volumes, and networking",
91,Kubernetes,Cloud Computing,Advanced,40.0,"Pods, deployments, services, ingress, and Helm charts",
92,Infrastructure as Code (Terraform),Cloud Computing,Advanced,30.0,"Providers, modules, state management, and plan/apply workflow",
93,CI/CD Pipelines,Cloud Computing,Intermediate,20.0,"GitHub Actions, Jenkins, GitLab CI, and deployment strategies",
94,Serverless Architecture,Cloud Computing,Intermediate,25.0,"Functions as a Service, event triggers, and cold starts",
95,Cloud Networking,Cloud Computing,Advanced,30.0,"VPCs, subnets, load balancers, VPNs, and CDN configuration",
96,Cloud Security,Cloud Computing,Advanced,30.0,"IAM best practices, encryption, compliance, and threat detection",
97,Cost Optimization,Cloud Computing,Intermediate,15.0,"Reserved instances, spot pricing, rightsizing, and FinOps",
98,Observability & Monitoring,Cloud Computing,Intermediate,20.0,"Metrics, logs, traces, Prometheus, Grafana, and OpenTelemetry",
99,Multi-Cloud Strategy,Cloud Computing,Advanced,35.0,"Vendor lock-in avoidance, hybrid cloud, and workload portability",
100,Cloud Databases,Cloud Computing,Intermediate,20.0,"Managed SQL, NoSQL, in-memory caches, and data warehouses",
101,Event-Driven Architecture,Cloud Computing,Advanced,30.0,"Kafka, SQS/SNS, event sourcing, and CQRS",
102,Microservices on Cloud,Cloud Computing,Advanced,40.0,"Service mesh, Istio, API gateways, and distributed tracing",
103,DevOps Culture,Cloud Computing,Intermediate,15.0,"Collaboration, automation, feedback loops, and blameless postmortems",
104,Cloud Storage & CDN,Cloud Computing,Beginner,10.0,"Object storage, lifecycle policies, edge caching, and delivery",
105,Disaster Recovery & HA,Cloud Computing,Advanced,30.0,"RTO/RPO, failover, geo-redundancy, and chaos engineering",
106,Security Fundamentals,Cybersecurity,Beginner,20.0,"CIA triad, threat modeling, attack surfaces, and defense in depth",
107,Network Security,Cybersecurity,Intermediate,30.0,"Firewalls, IDS/IPS, VPNs, and network protocol security",
108,Cryptography,Cybersecurity,Advanced,35.0,"Symmetric/asymmetric encryption, PKI, TLS, and hash functions",
109,Penetration Testing,Cybersecurity,Advanced,40.0,"Recon, exploitation, post-exploitation, and reporting",
110,Ethical Hacking,Cybersecurity,Advanced,35.0,"Legal frameworks, vulnerability scanning, and bug bounty",
111,Web Application Security,Cybersecurity,Intermediate,25.0,"OWASP Top 10, burp suite, authentication flaws, and secure coding",
112,Malware Analysis,Cybersecurity,Advanced,40.0,"Static and dynamic analysis, reverse engineering, and sandboxing",
113,Digital Forensics,Cybersecurity,Advanced,35.0,"Evidence acquisition, file system analysis, and memory forensics",
114,Incident Response,Cybersecurity,Advanced,30.0,"Detection, containment, eradication, recovery, and lessons learned",
115,Security Operations Center (SOC),Cybersecurity,Intermediate,25.0,"SIEM, alert triage, threat hunting, and playbooks",
116,Identity & Access Management,Cybersecurity,Intermediate,20.0,"SSO, MFA, privileged access, and zero trust",
117,Cloud Security2,Cybersecurity,Advanced,30.0,"Shared responsibility, misconfiguration risks, and CSPM",
118,Social Engineering,Cybersecurity,Intermediate,15.0,"Phishing, pretexting, baiting, and security awareness training",
119,Vulnerability Management,Cybersecurity,Intermediate,20.0,"CVE, CVSS, patch management, and risk prioritization",
120,Secure Software Development,Cybersecurity,Intermediate,25.0,"SAST, DAST, dependency scanning, and security in SDLC",
121,Risk Management,Cybersecurity,Intermediate,20.0,"Risk assessment frameworks, NIST, ISO 27001, and controls",
122,Container & Kubernetes Security,Cybersecurity,Advanced,30.0,"Image scanning, RBAC, network policies, and runtime security",
123,Red vs Blue Team Operations,Cybersecurity,Advanced,35.0,"Adversary emulation, purple teaming, and tabletop exercises",
124,Threat Intelligence,Cybersecurity,Advanced,25.0,"IOCs, TTPs, MITRE ATT&CK, and intelligence sharing",
125,Compliance & Regulations,Cybersecurity,Intermediate,20.0,"GDPR, HIPAA, PCI-DSS, SOC 2, and audit preparation",
126,Linear Algebra,Mathematics,Intermediate,40.0,"Vectors, matrices, eigenvalues, and linear transformations","linalg,matrices"
127,Calculus,Mathematics,Intermediate,45.0,"Limits, derivatives, integrals, and multivariate calculus",
128,Probability Theory2,Mathematics,Intermediate,30.0,"Random variables, distributions, expectation, and variance",
129,Statistics,Mathematics,Intermediate,30.0,"Descriptive stats, inference, regression, and hypothesis testing","stats,probability"
130,Discrete Mathematics,Mathematics,Intermediate,35.0,"Logic, sets, graph theory, combinatorics, and proofs",
131,Numerical Methods,Mathematics,Advanced,35.0,"Root finding, interpolation, ODE solvers, and numerical integration",
132,Optimization Theory,Mathematics,Advanced,40.0,"Convex optimization, gradient methods, and constraint handling",
133,Information Theory,Mathematics,Advanced,30.0,"Entropy, mutual information, channel capacity, and coding",
134,Differential Equations,Mathematics,Advanced,40.0,"ODEs, PDEs, systems of equations, and numerical solutions",
135,Abstract Algebra,Mathematics,Advanced,45.0,"Groups, rings, fields, homomorphisms, and Galois theory",
136,Real Analysis,Mathematics,Advanced,45.0,"Limits, continuity, measure theory, and functional analysis",
137,Complex Analysis,Mathematics,Advanced,40.0,"Complex functions, contour integration, and residue theorem",
138,Topology,Mathematics,Advanced,50.0,"Metric spaces, continuity, compactness, and connectedness",
139,Game Theory,Mathematics,Intermediate,30.0,"Nash equilibria, zero-sum games, mechanism design, and auctions",
140,Mathematical Logic,Mathematics,Advanced,35.0,"Propositional logic, predicate logic, proof systems, and Gödel",
141,Number Theory,Mathematics,Intermediate,30.0,"Divisibility, primes, modular arithmetic, and RSA foundations",
142,Graph Theory,Mathematics,Intermediate,30.0,"Paths, cycles, coloring, matching, and network flow",
143,Stochastic Processes,Mathematics,Advanced,40.0,"Markov chains, Poisson processes, Brownian motion, and queuing",
144,Fourier Analysis,Mathematics,Advanced,35.0,"Fourier series, transforms, DFT, FFT, and signal processing",
145,Combinatorics,Mathematics,Intermediate,30.0,"Counting principles, permutations, combinations, and generating functions",
146,Kotlin Programming,Programming,Intermediate,25.0,Modern JVM language for Android and server-side development,
147,Swift Programming,Programming,Intermediate,25.0,"Apple's language for iOS, macOS, and server-side development",
148,Scala & Functional JVM,Programming,Advanced,35.0,Functional and OOP hybrid for data engineering and distributed systems,
149,Ruby on Rails,Programming,Intermediate,25.0,Convention-over-configuration web framework for rapid development,
150,PHP & Laravel,Programming,Intermediate,20.0,Server-side scripting and the Laravel MVC framework,
151,Dask & Parallel Computing,Data Science,Advanced,25.0,Scalable Python analytics for datasets larger than RAM,
152,PySpark & Big Data,Data Science,Advanced,30.0,Distributed data processing with Apache Spark and Python,
153,Data Quality & Validation,Data Science,Intermediate,15.0,"Great Expectations, data contracts, and schema enforcement",
154,Speech Recognition,Artificial Intelligence,Advanced,35.0,"ASR systems, Whisper, and voice interface development",
155,Multi-Agent Systems,Artificial Intelligence,Advanced,40.0,"Coordination, communication, and emergent behavior in AI agents",
156,WebAssembly,Web Development,Advanced,25.0,High-performance web apps using WASM and Rust/C++ compilation,
157,Three.js & WebGL,Web Development,Advanced,30.0,"3D graphics, shaders, and interactive visualizations in the browser",
158,Platform Engineering,Cloud Computing,Advanced,35.0,"Internal developer platforms, golden paths, and self-service infra",
159,FinOps & Cloud Cost Management,Cloud Computing,Intermediate,20.0,"Cost allocation, tagging strategies, and optimization workflows",
160,Zero Trust Architecture,Cybersecurity,Advanced,25.0,"Never trust, always verify: micro-segmentation and identity-first security",
161,AI-Powered Security,Cybersecurity,Advanced,30.0,"Using ML for threat detection, anomaly detection, and UEBA",
162,Measure Theory,Mathematics,Advanced,45.0,"Sigma algebras, Lebesgue integration, and rigorous probability foundations",
163,Algebraic Topology,Mathematics,Advanced,50.0,"Homology, cohomology, fundamental groups, and persistent homology",
164,Convex Analysis,Mathematics,Advanced,35.0,"Convex sets, conjugate functions, and optimality conditions",
165,Synthetic Data Generation,Data Science,Advanced,25.0,"GANs, VAEs, and privacy-preserving synthetic dataset creation",
cd0c03bf-05c4-4208-a13c-261e7386d05e,Python programming,Extracted,,,,
2e620ef7-5056-4ab1-9b68-744b13c41cdb,SQL queries,Extracted,,,,
944ae317-76cb-401b-8972-aae31c16ebbe,Redux,Extracted,,,,
ca1cdb60-54d7-4f5a-97c7-3d2b00dff7a8,Tailwind CSS,Extracted,,,,
92d202dd-e472-48bc-85c4-655104e5f40d,Deep learning neural networks,Extracted,,,,
4cd604c9-4699-429e-b197-27b762d52b2e,Pandas for data analysis,Extracted,,,,
80ced3cb-b3e2-4ec4-9eae-89f8fc297241,TailwindCSS,Extracted,,,,
92b231e8-e102-4409-9eeb-98d1bcc5594e,cloud engineering with AWS,Extracted,,,,
